z,zErr,specClass,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z
1.56466,1.53248E-3,3,20.438948,20.075193,19.824501,19.521917,19.520554,0.053686,0.019655,0.021338,0.024795,0.078319
3.00697,8.94079E-4,4,21.031956,19.254583,19.045143,18.993301,18.951727,0.082878,0.015148,0.016563,0.020483,0.049175
1.36765,2.25821E-3,3,19.585796,19.379698,19.047907,18.866657,18.825275,0.031068,0.018097,0.017385,0.022436,0.044909
1.76865,1.68191E-3,3,20.661509,20.39529,20.380764,19.989668,19.960758,0.061233,0.024465,0.029014,0.032942,0.115681
1.13314,2.08289E-3,3,22.305975,21.463903,20.614544,20.207207,19.61389,0.229872,0.044441,0.034421,0.03481,0.087407
1.45826,1.27771E-3,3,19.239561,19.109776,18.969763,18.867079,18.986506,0.025561,0.015938,0.017637,0.019593,0.049791
2.01425,1.84457E-3,3,20.134333,19.734612,19.549345,19.45064,19.199026,0.041028,0.017967,0.017502,0.019196,0.062159
0.82639,1.13215E-3,3,19.668669,19.373779,19.379114,19.382711,19.166958,0.031044,0.015874,0.017484,0.018557,0.06018
1.15294,1.59594E-3,3,20.166075,19.920193,19.521362,19.491495,19.571644,0.042817,0.018431,0.01825,0.019823,0.083365
3.81913,5.56591E-4,4,23.373713,21.619362,20.143398,20.061546,20.120655,0.564628,0.049363,0.022277,0.03141,0.13015
1.08932,3.4985E-3,3,19.60404,19.293491,18.968563,19.10853,19.207211,0.031827,0.014115,0.014496,0.020491,0.058937
1.69804,2.86508E-3,3,20.155212,20.006189,20.03755,19.763485,19.707129,0.044695,0.018024,0.021651,0.026997,0.088147
3.90481,1.27538E-3,4,23.894909,20.972912,19.970751,19.688671,19.745152,0.685726,0.030894,0.020693,0.025789,0.090816
0.955135,1.17842E-3,3,19.666929,19.457083,19.288662,19.231386,19.107624,0.031789,0.018571,0.017272,0.018659,0.056402
1.5073,2.01701E-3,3,20.263422,19.685946,19.06583,18.566414,18.353937,0.043187,0.016351,0.015292,0.014571,0.035904
2.06831,1.52719E-3,3,20.75305,20.424206,20.334707,20.192568,19.766558,0.064989,0.021947,0.027044,0.034055,0.094563
0.861006,2.2941E-3,3,20.043795,19.631487,19.35895,19.254377,18.972996,0.039497,0.019661,0.021245,0.020757,0.048378
2.06003,1.53892E-3,3,19.85269,19.501434,19.285313,19.089983,18.779516,0.033014,0.014676,0.017108,0.017247,0.045053
1.65767,1.61128E-3,3,19.353039,19.182255,19.118517,18.838402,18.739693,0.026384,0.012913,0.012553,0.013139,0.041917
2.03332,1.98304E-3,3,19.294277,19.102182,18.918259,18.708254,18.498056,0.026042,0.012643,0.011677,0.012394,0.034185
1.4561,1.0381E-3,3,20.464991,19.93335,19.534985,19.221111,19.144182,0.050056,0.018109,0.016327,0.018519,0.054252
0.661185,2.95465E-3,3,20.77424,20.367807,20.279448,19.934877,19.668955,0.063124,0.022072,0.024391,0.027193,0.085385
0.794799,1.43466E-3,3,20.396524,20.05711,20.057114,20.068356,19.658117,0.047342,0.019075,0.023035,0.029697,0.08479
1.9411,2.90685E-3,3,20.218494,20.02969,19.945745,19.733463,19.836905,0.043175,0.022074,0.021857,0.026026,0.107087
1.12102,2.60069E-3,3,19.719191,19.513117,19.146784,19.093641,19.152422,0.032997,0.025278,0.013427,0.021906,0.060911
2.11078,1.30265E-3,3,20.334948,20.260799,20.343428,19.961681,20.041252,0.047529,0.023256,0.029989,0.034767,0.118226
1.78105,2.08025E-3,3,20.30238,20.322273,19.896999,19.866684,20.062176,0.046514,0.023958,0.023821,0.033126,0.120938
0.99961,1.44614E-3,3,20.534113,20.406763,20.160955,20.264219,20.389801,0.05474,0.02499,0.025961,0.041632,0.161794
1.53247,2.14757E-3,3,20.586779,20.413982,20.033863,19.731441,19.74931,0.056064,0.024051,0.027994,0.023123,0.09657
1.98022,4.86144E-3,3,19.862318,19.460039,19.229141,19.076368,18.871843,0.03972,0.025951,0.015554,0.018545,0.051677
1.10274,1.49818E-3,3,20.478992,20.422009,20.126606,20.13022,20.296783,0.061467,0.033088,0.024674,0.034296,0.174295
2.38562,1.16344E-3,4,20.814903,20.397301,20.355022,20.225597,20.001459,0.08795,0.032649,0.028596,0.037037,0.13384
2.50576,1.03317E-3,4,20.635622,20.205503,20.113863,20.097378,19.715605,0.079607,0.038688,0.031309,0.035011,0.117549
2.20143,3.10219E-3,3,20.262796,19.933838,19.871071,19.797272,19.64496,0.056906,0.03203,0.027808,0.029989,0.113409
1.21648,1.87401E-3,3,19.700775,19.581429,19.188452,19.231958,19.175047,0.038706,0.045125,0.020145,0.02454,0.07746
0.795568,1.44983E-3,3,19.981251,19.635294,19.686699,19.669422,19.463076,0.04173,0.021554,0.021149,0.02754,0.084756
3.02055,9.9477E-4,4,21.955435,19.313055,18.862833,18.439039,18.453156,0.222215,0.018669,0.012611,0.021093,0.030972
0.6868,2.07231E-3,3,20.831976,20.408701,20.352463,19.895618,19.68268,0.069361,0.026238,0.025859,0.034099,0.074926
4.47611,4.87141E-4,3,24.785004,23.368073,20.74399,20.37602,20.238071,0.913035,0.249602,0.03967,0.041719,0.118829
0.538477,1.3473E-3,3,20.583858,20.232395,20.100426,19.950895,19.877953,0.055805,0.021874,0.032024,0.030411,0.087144
2.54841,1.58897E-3,3,21.022228,20.486666,20.507027,20.533043,20.273954,0.075599,0.025764,0.030349,0.04668,0.121661
0.536147,1.13288E-3,3,20.230816,19.687744,19.48242,19.147017,18.832762,0.040402,0.019078,0.018335,0.018524,0.036745
0.552797,1.1376E-3,3,19.792242,19.222111,19.173765,18.864103,18.857513,0.033518,0.012923,0.01898,0.021949,0.03789
0.907518,4.0833E-4,3,19.697376,19.390676,19.127247,19.08148,18.831705,0.032732,0.024728,0.021514,0.039787,0.041543
2.2684,1.52682E-3,3,20.052151,19.469927,19.342541,19.23638,19.016518,0.037988,0.015922,0.014751,0.019665,0.042021
